comune,year,month,t_mean
Atina,2015,4,11.47
Atina,2015,5,16.35
Atina,2015,6,20.06
Atina,2015,7,25.52
Atina,2015,8,23.55
Atina,2015,9,19.31
Atina,2015,10,13.84
Atina,2015,11,9.89
Atina,2015,12,5.78
Atina,2016,1,5.63
Atina,2016,2,8.5
Atina,2016,3,8.39
Atina,2016,4,13.69
Atina,2016,5,14.92
Atina,2016,6,19.53
Atina,2016,7,23.61
Atina,2016,8,22.88
Atina,2016,9,18.15
Atina,2016,10,13.88
Atina,2016,11,9.48
Atina,2016,12,4.99
Atina,2017,1,1.78
Atina,2017,2,7.53
Atina,2017,3,9.66
Atina,2017,4,11.05
Atina,2017,5,15.83
Atina,2017,6,21.4
Atina,2017,7,22.9
Atina,2017,8,24.41
Atina,2017,9,16.69
Atina,2017,10,13.47
Atina,2017,11,8.42
Atina,2017,12,4.52
Atina,2018,1,6.75
Atina,2018,2,4.11
Atina,2018,3,7.76
Atina,2018,4,14.38
Atina,2018,5,16.49
Atina,2018,6,20.09
Atina,2018,7,23.52
Atina,2018,8,22.42
Atina,2018,9,19.35
Atina,2018,10,15.51
Atina,2018,11,10.02
Atina,2018,12,5.86
Atina,2019,1,2.52
Atina,2019,2,6.04
Atina,2019,3,9.59
Atina,2019,4,10.95
Atina,2019,5,12.1
Atina,2019,6,21.94
Atina,2019,7,23.34
Atina,2019,8,23.59
Atina,2019,9,19.38
Atina,2019,10,15.06
Atina,2019,11,10.71
Atina,2019,12,7.13
Atina,2020,1,5.12
Atina,2020,2,7.39
Atina,2020,3,7.88
Atina,2020,4,11.39
Atina,2020,5,16.05
Atina,2020,6,18.14
Atina,2020,7,22.41
Atina,2020,8,23.13
Atina,2020,9,19.33
Atina,2020,10,12.36
Atina,2020,11,10.3
Atina,2020,12,6.4
Atina,2021,1,4.37
Atina,2021,2,7.36
Atina,2021,3,7.15
Atina,2021,4,9.69
Atina,2021,5,14.7
Atina,2021,6,20.59
Atina,2021,7,23.19
Atina,2021,8,23.22
Atina,2021,9,19.52
Atina,2021,10,13.14
Atina,2021,11,10.83
Atina,2021,12,5.76
Atina,2022,1,4.6
Atina,2022,2,6.53
